Cosmic Watch Muon Detector
Device ID: Kingswood College A
Firmware version: 2.3.2
Compiled: Aug 10 2019 at 18:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This firmware can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count Time_Stamp_ms Measured_ADC_0-1023 SIPM_Voltage_mV Dead_Time_ms Temperature_C
465 727219 48 15.3 42506 22.2
466 728432 295 51.7 42579 22.2
467 730479 83 20.5 42688 22.2
468 730565 120 23.6 42712 22.2
469 733184 115 23.2 42822 22.2
470 735890 103 22.2 42974 22.2
471 736847 216 36.8 43046 22.2
472 737828 115 23.2 43118 22.2
473 737952 222 38.0 43143 22.2
474 738180 176 30.1 43167 22.2
475 739802 97 21.7 43276 22.2
476 740127 71 19.1 43300 22.2
477 743893 51 15.9 43483 22.2
478 744583 124 23.9 43507 22.2
479 744852 51 15.9 43580 22.7
480 745866 227 38.8 43652 22.2
481 746224 62 17.8 43676 22.2
482 747594 156 27.3 43749 22.3
483 748419 163 28.2 43821 22.2
484 750360 111 22.9 43930 22.2
485 753338 304 53.7 44075 22.2
486 755300 124 23.9 44192 22.2
487 759719 216 36.8 44376 22.2
488 763100 112 22.9 44522 22.2
489 763939 57 16.9 44595 22.2
490 764730 166 28.6 44667 22.3
491 766345 248 42.7 44739 22.2
492 767406 204 34.7 44812 22.3
493 769159 142 25.6 44921 22.2
494 771350 83 20.5 45030 22.2
495 772240 112 22.9 45103 22.2
496 773356 135 24.9 45175 22.2
497 774014 542 169 45248 21.5
498 775477 169 29.0 45320 22.2
499 779697 88 21.0 45502 22.2
500 780145 192 32.7 45526 22.2
501 781138 615 227 45598 21.1
502 782811 335 61.8 45726 22.2
503 782860 199 33.9 45755 22.3
504 786023 231 39.5 45906 22.2
505 790216 71 19.1 46093 22.2
506 792738 143 25.7 46245 22.0
507 797758 86 20.8 46433 22.2
508 800937 89 21.1 46584 22.3
509 801319 81 20.3 46661 22.2
510 801621 135 24.9 46690 22.7
511 806813 224 38.3 46915 22.2
512 807310 304 53.7 46992 22.2
513 807711 124 23.9 47021 22.2
514 808139 156 27.3 47051 22.2
515 810822 83 20.5 47203 22.3
516 811963 70 18.9 47281 22.2
517 812315 97 21.7 47311 22.2
518 812560 472 126 47389 22.2
519 814486 67 18.5 47493 22.2
520 816090 71 19.1 47601 22.2
521 819271 273 47.3 47747 22.7
522 819342 188 32.0 47771 22.2
523 820247 112 22.9 47849 22.7
524 821086 49 15.5 47921 22.2
525 822398 92 21.3 47993 22.2
526 823447 192 32.7 48065 22.2
527 826868 137 25.1 48211 22.2
528 827406 60 17.4 48284 22.3
529 833317 220 37.6 48502 22.2
530 834897 71 19.1 48610 22.2
531 835995 62 17.8 48682 22.2
532 839642 352 66.9 48865 22.3
533 840089 167 28.8 48889 22.2
534 840284 56 16.8 48913 22.2
535 841973 79 20.0 49028 22.2
536 845049 615 227 49173 21.5
537 848514 195 33.2 49327 22.2
538 852082 177 30.3 49473 22.2
539 852799 127 24.2 49545 22.2
540 855647 78 19.9 49692 22.2
541 856826 79 20.0 49764 22.2
542 857182 79 20.0 49788 22.2
543 860603 371 73.8 49971 22.2
544 861151 126 24.1 50176 22.2
545 865106 127 24.2 50389 22.2
546 867163 231 39.5 50498 22.2
547 868461 132 24.6 50570 22.2
548 869915 204 34.7 50679 22.2
549 870139 99 21.9 50703 22.3
550 871991 380 78.1 50813 22.2
551 878654 97 21.7 51077 22.2
552 881492 334 61.4 51224 22.2
553 883248 135 24.9 51296 22.2
554 887297 156 27.3 51479 22.7
555 895310 108 22.6 51810 22.2
556 895761 199 33.9 51834 22.2
557 896228 56 16.8 51906 22.7
558 898611 286 49.8 52015 22.7
559 905897 455 117 52308 21.9
560 906343 384 80.1 52380 22.2
561 908674 108 22.6 52489 22.2
562 908884 108 22.6 52513 22.2
563 908959 81 20.3 52537 22.2
564 912657 195 33.2 52720 22.2
565 917381 152 26.8 52902 22.2
566 918006 348 65.6 52975 22.2
567 921700 167 28.8 53126 22.2
568 922742 112 22.9 53198 22.2
569 925119 110 22.8 53343 22.2
570 926173 401 87.9 53415 22.2
571 928540 67 18.5 53525 22.2
572 929062 96 21.7 53549 22.2
573 931351 71 19.1 53695 22.3
574 932314 88 21.0 53767 22.2
575 933289 284 49.4 53791 22.2
576 936907 71 19.1 53974 22.2
577 937283 492 135 53998 21.9
578 937820 140 25.4 54070 22.2
579 939518 339 63.0 54142 22.2
580 940132 97 21.7 54214 22.2
581 940818 143 25.7 54286 22.2
582 940942 56 16.8 54310 22.2
583 941537 108 22.6 54342 22.3
584 942913 103 22.2 54451 22.2
