Cosmic Watch Muon Detector
Device ID: Kingswood College B
Firmware version: 2.1.1 non official
Compiled: Jul 22 2018 at 15:06:55
Official website: http://cosmicwatch.lns.mit.edu/
This software can be found at: https://github.com/jgOhYeah/NonOfficial-StuffForCosmicWatchMuonDetectors

Master
Count,Time Stamp,Measured ADC,SIPM Voltage,Dead Time,Temperature C
367,221615,316,56.8,22555,19.6
368,221702,110,22.8,22580,19.6
369,221968,268,46.3,22603,19.6
370,222324,524,151,22698,18.5
371,223514,134,24.8,22790,19.6
372,225273,243,41.7,22884,19.6
373,225650,70,18.9,22978,19.6
374,225835,508,145,23004,18.2
375,226493,192,32.7,23096,19.6
376,227026,156,27.3,23121,19.6
377,227567,428,102,23213,18.8
378,227723,135,24.9,23245,19.6
379,227955,206,35.1,23269,19.6
380,229717,492,135,23396,18.2
381,232266,167,28.8,23524,19.6
382,232438,176,30.1,23549,19.6
383,233762,792,615,23642,17.8
384,234268,110,22.8,23735,19.6
385,234323,518,151,23759,18.0
386,235311,51,15.9,23852,19.6
387,235356,62,17.8,23876,19.6
388,236030,199,33.9,23969,19.6
389,237282,433,104,24061,18.8
390,237385,96,21.7,24086,19.6
391,237468,56,16.8,24110,19.6
392,239256,67,18.5,24237,19.6
393,239630,135,24.9,24262,19.6
394,240326,99,21.9,24363,19.6
395,240700,135,24.9,24389,19.6
396,241914,496,144,24482,18.5
397,242226,159,27.7,24507,19.6
398,242702,113,23.0,24599,19.6
399,242863,63,17.9,24625,19.6
400,243321,76,19.7,24649,19.6
401,243966,112,22.9,24744,19.6
402,244146,115,23.2,24767,19.6
403,244314,56,16.8,24793,19.6
404,244849,312,55.7,24885,19.6
405,245097,433,104,24911,18.8
406,245150,159,27.7,24934,19.6
407,245777,448,112,25030,18.8
408,246313,344,64.7,25054,19.6
409,247610,71,19.1,25149,19.6
410,248258,71,19.1,25242,19.6
411,248300,81,20.3,25274,19.6
412,248361,515,148,25301,18.5
413,248962,511,149,25392,18.5
414,249235,444,109,25420,18.8
415,249911,376,76.4,25511,19.6
416,249948,816,637,25540,17.4
417,250416,99,21.9,25563,19.6
418,251543,49,15.5,25659,19.6
419,252699,147,26.2,25749,19.6
420,253370,206,35.1,25844,19.6
421,255056,99,21.9,25934,19.6
422,255538,152,26.8,26030,19.6
423,256483,483,133,26121,18.5
424,257948,463,119,26218,18.5
425,258725,396,85.3,26309,18.8
426,260017,376,76.4,26405,19.3
427,260613,248,42.7,26504,19.6
428,260669,143,25.7,26528,19.6
429,260846,323,58.5,26554,19.6
430,262209,76,19.7,26649,19.6
431,262423,583,201,26676,17.7
432,263046,188,32.0,26770,19.6
433,263988,428,102,26865,18.8
434,264058,524,151,26890,18.2
435,264394,291,51.0,26913,19.6
436,264818,60,17.4,27007,19.6
437,265034,89,21.1,27031,19.6
438,265327,591,189,27058,17.8
439,266274,355,68.3,27152,19.6
440,266959,295,51.7,27248,19.6
441,267468,198,33.7,27272,19.6
442,268294,177,30.3,27367,19.6
443,269674,103,22.2,27469,19.6
444,271379,460,120,27784,18.5
445,271495,350,66.5,27808,19.6
446,273248,369,73.4,27900,19.3
447,273838,103,22.2,27995,19.6
448,274314,124,23.9,28019,19.6
449,274915,344,64.7,28112,19.6
450,274994,391,82.4,28136,18.8
451,275277,96,21.7,28160,19.6
452,276065,451,113,28253,18.8
453,277272,312,55.7,28348,19.6
454,277865,422,98.0,28443,18.8
455,278192,76,19.7,28469,19.6
456,278690,179,30.6,28563,19.6
457,279510,252,43.4,28588,19.6
458,279770,76,19.7,28681,19.6
459,280064,166,28.6,28710,19.6
460,280385,371,73.8,28737,19.6
461,280578,167,28.8,28760,19.6
462,280625,92,21.3,28787,19.6
463,281017,359,69.9,28878,19.6
464,281280,152,26.8,28904,19.6
465,281431,131,24.5,28925,19.6
466,281905,287,50.2,29019,19.6
467,283012,348,65.6,29108,19.6
468,283310,120,23.6,29136,19.6
469,283335,103,22.2,29159,19.6
470,283428,529,156,29186,18.2
471,283703,120,23.6,29210,19.6
472,284034,60,17.4,29304,19.6
473,284839,76,19.7,29326,19.6
474,284866,371,73.8,29351,19.6
475,285240,255,44.0,29450,19.6
476,285733,71,19.1,29474,19.6
477,285955,529,156,29500,18.5
478,286952,49,15.5,29593,19.6
479,288601,230,39.4,29720,19.6
480,290641,204,34.7,29847,19.6
481,290760,100,22.0,29871,19.6
482,291442,384,80.1,29963,18.8
483,292214,60,17.4,29988,19.6
484,292971,88,21.0,30081,19.6
485,293186,63,17.9,30107,19.6
486,294745,63,17.9,30235,19.6
487,295400,551,165,30260,18.5
488,296053,476,130,30352,18.5
489,296167,304,53.7,30376,19.6
490,296323,323,58.5,30399,19.6
491,296989,96,21.7,30492,19.6
492,297721,63,17.9,30525,19.6
493,298916,775,556,30653,17.5
494,299067,241,41.4,30678,19.6
495,299165,108,22.6,30703,19.6
496,299446,600,204,30728,17.8
497,299714,504,144,30752,18.5
498,299796,176,30.1,30777,19.6
499,300100,184,31.4,30871,19.6
500,300251,140,25.4,30896,19.6
501,303130,51,15.9,31059,19.6
502,303511,376,76.4,31084,19.3
503,304381,211,36.0,31178,19.6
504,304656,96,21.7,31201,19.6
505,305685,156,27.3,31296,19.6
506,307052,103,22.2,31387,19.6
507,307084,88,21.0,31414,19.6
508,307894,71,19.1,31515,19.6
509,309901,156,27.3,31640,19.6
510,310650,216,36.8,31735,19.6
511,310700,94,21.5,31758,19.6
512,310904,512,144,31783,18.2
513,312429,167,28.8,31875,19.6
514,315698,56,16.8,32038,19.6
515,315867,227,38.8,32131,19.6
516,316047,192,32.7,32157,19.6
517,317135,188,32.0,32249,19.6
518,317300,465,122,32274,18.5
519,317818,188,32.0,32298,19.6
520,318290,92,21.3,32394,19.6
521,319933,384,80.1,32486,18.8
522,320913,56,16.8,32581,19.6
523,321010,225,38.5,32605,19.6
524,322234,118,23.4,32756,19.6
525,322305,143,25.7,32783,19.6
526,322754,92,21.3,32805,19.6
527,322897,284,49.4,32832,19.6
528,323511,115,23.2,32922,19.6
529,323846,166,28.6,32949,19.6
530,325862,143,25.7,33073,19.6
531,326617,92,21.3,33170,19.6
532,326655,399,87.3,33193,18.8
533,327112,145,26.0,33220,19.6
534,327328,195,33.2,33243,19.6
535,327549,519,154,33339,18.2
536,327779,448,112,33363,18.8
537,328376,287,50.2,33391,19.6
538,328690,68,18.6,33655,19.6
539,329088,177,30.3,33680,19.6
540,329225,332,61.2,33711,19.6
541,329322,515,148,33734,18.5
542,330220,408,90.6,33829,18.8
543,331452,409,91.1,33921,18.8
544,331492,224,38.3,33948,19.6
545,332222,195,33.2,34040,19.6
546,332664,435,105,34067,18.8
547,332715,103,22.2,34090,19.6
548,333187,209,35.6,34186,19.6
549,333439,480,130,34209,18.5
550,333477,430,101,34236,18.8
551,335459,62,17.8,34361,19.6
552,336280,659,253,34456,17.8
553,336757,195,33.2,34479,19.6
554,336848,380,78.1,34506,19.0
555,337164,216,36.8,34597,19.6
556,337418,348,65.6,34629,19.6
557,338068,152,26.8,34656,19.6
558,338416,259,44.7,34748,19.6
559,338828,96,21.7,34775,19.6
560,339711,60,17.4,34867,19.6
561,340278,184,31.4,34892,19.6
562,340859,71,19.1,34985,19.6
563,341280,217,37.0,35010,19.6
564,341679,352,66.9,35104,19.6
565,342263,195,33.2,35129,19.6
566,342732,304,53.7,35224,19.6
567,342831,238,40.8,35249,19.6
568,344070,51,15.9,35343,19.6
569,344191,271,46.9,35368,19.6
570,344718,92,21.3,35461,19.6
571,345556,124,23.9,35486,19.6
572,346380,243,41.7,35580,19.6
573,346972,184,31.4,35683,19.6
574,347535,304,53.7,35706,19.6
575,347679,295,51.7,35733,19.6
576,350784,103,22.2,35890,19.6
577,351138,60,17.4,35985,19.6
578,351161,519,154,36006,18.2
579,352363,56,16.8,36102,19.6
580,352919,403,89.0,36126,18.8
581,354447,448,112,36256,18.8
582,354943,440,109,36279,18.8
583,355487,359,69.9,36375,19.6
584,355608,376,76.4,36397,19.6
585,356973,192,32.7,36492,19.6
586,358343,71,19.1,36581,19.6
587,358610,252,43.4,36676,19.6
588,359102,271,46.9,36698,19.6
589,359333,57,16.9,36733,19.6
590,360031,448,112,36826,18.8
591,361003,339,63.0,36918,19.6
592,361385,319,57.6,36941,19.6
593,362140,62,17.8,37032,19.6
594,362350,127,24.2,37055,19.6
595,362729,102,22.2,37147,19.6
596,362804,124,23.9,37172,19.6
597,363247,49,15.5,37197,19.6
598,364064,79,20.0,37290,19.6
599,364252,60,17.4,37314,19.6
600,364357,110,22.8,37339,19.6
601,364722,188,32.0,37360,19.6
602,365410,110,22.8,37452,19.6
603,365445,300,52.8,37475,19.6
604,366147,142,25.6,37569,19.6
605,367441,575,187,37670,18.5
606,367712,391,82.4,37696,18.8
607,367750,231,39.5,37720,19.6
608,368385,143,25.7,37813,19.6
609,368420,423,97.4,37836,19.6
610,369831,126,24.1,37929,19.6
